Inlier/Outlier, Embryo Id, Cell ID, Size, TE/ICM, X, Y, Z, CH1-Avg, CH1-Sum, CH2-Avg, CH2-Sum, CH3-Avg, CH3-Sum, CH4-Avg, CH4-Sum, CH5-Avg, CH5-Sum,M/L
1,1,240,4119,2,126.68,377.4,60.493,110.89,4.57E+05,118.47,4.88E+05,14.589,60092,16.271,67021,5.1702,21296,M
1,1,241,1245,2,303.35,381.59,56.552,68.296,85028,93.846,1.17E+05,15.112,18814,13.256,16504,7.7068,9595,M
1,1,244,3385,2,155.99,447.72,61.486,123.77,4.19E+05,98.741,3.34E+05,15.899,53818,16.638,56320,5.1495,17431,M
1,1,247,4858,2,99.106,222.36,60.65,70.583,3.43E+05,163.87,7.96E+05,14.17,68837,31.368,1.52E+05,8.9827,43638,M
1,1,249,2744,1,282.48,401.83,59.3,76.777,2.11E+05,92.961,2.55E+05,14.877,40822,13.805,37880,7.0867,19446,M
1,1,252,4710,2,191.04,278.35,60.241,72.445,3.41E+05,129.78,6.11E+05,13.883,65388,11.787,55519,4.924,23192,M
1,1,255,6867,2,195.56,370.95,64.324,96.495,6.63E+05,113.93,7.82E+05,21.885,1.50E+05,16.723,1.15E+05,5.6541,38827,M
1,1,257,3047,2,265.44,306.8,62.847,84.12,2.56E+05,107.53,3.28E+05,15.471,47141,15.973,48671,5.3387,16267,M
1,1,259,1475,2,63.544,146.74,63.919,36.424,53725,167.26,2.47E+05,13.871,20460,24.91,36742,9.4339,13915,M
1,1,260,4551,2,221.99,344.89,66.525,91.826,4.18E+05,109.2,4.97E+05,14.693,66867,18.502,84201,5.3744,24459,M
1,1,261,3712,2,207.47,402.73,63.423,73.435,2.73E+05,101.23,3.76E+05,14.627,54295,14.683,54504,9.9793,37043,M
1,1,262,3001,1,268.89,423.33,63.813,74.823,2.25E+05,95.389,2.86E+05,14.839,44532,12.86,38592,8.5988,25805,M
1,1,266,3747,2,126.64,251.79,65.729,54.434,2.04E+05,147.34,5.52E+05,14.581,54634,22.057,82647,6.7716,25373,M
1,1,267,4912,2,234.24,419.34,62.874,81.287,3.99E+05,102.18,5.02E+05,14.675,72083,14.356,70519,8.1226,39898,M
1,1,268,5190,2,228.95,303.97,68.152,85.276,4.43E+05,114.98,5.97E+05,14.305,74244,12.499,64871,4.7798,24807,M
1,1,269,2339,2,191.41,410.91,66.552,69.285,1.62E+05,106.04,2.48E+05,14.632,34224,11.362,26575,6.0321,14109,M
1,1,270,3761,2,128.17,228.13,69.767,70.096,2.64E+05,161.75,6.08E+05,13.796,51885,15.281,57471,9.104,34240,M
1,1,271,3047,2,279.37,380.01,68.09,106.33,3.24E+05,94.901,2.89E+05,14.874,45321,13.253,40382,9.2537,28196,M
1,1,272,1417,2,145.14,387.46,65.546,102,1.45E+05,115.09,1.63E+05,15.57,22062,16.415,23260,5.6415,7994,M
1,1,273,6441,2,252.82,398.23,67.544,66.116,4.26E+05,100.37,6.46E+05,14.637,94275,13.807,88934,7.4447,47951,M
1,1,274,6472,2,150.39,417.9,69.34,72.684,4.70E+05,111.3,7.20E+05,14.589,94417,9.9751,64559,4.966,32140,M
1,1,275,2783,1,287.34,429.3,66.115,69.57,1.94E+05,91.128,2.54E+05,15.651,43557,14.84,41300,8.4977,23649,M
1,1,276,3070,2,113.21,181.06,68.928,77.421,2.38E+05,160.38,4.92E+05,13.964,42870,16.715,51315,6.7443,20705,M
1,1,277,3981,2,79.829,189.34,69.725,98.412,3.92E+05,161.8,6.44E+05,13.846,55119,17.886,71205,5.9626,23737,M
1,1,283,3000,2,219.4,425.88,69.231,72.629,2.18E+05,101.53,3.05E+05,14.768,44305,14.205,42616,7.137,21411,M
1,1,284,1991,2,96.755,175.45,71.85,74.076,1.47E+05,161.81,3.22E+05,13.966,27806,13.177,26236,5.0316,10018,M
1,1,288,2018,2,309.31,396.22,70.514,112.81,2.28E+05,84.226,1.70E+05,13.433,27107,10.303,20792,4.7874,9661,M
1,1,298,1629,2,179.02,262.14,73.215,66.829,1.09E+05,137.14,2.23E+05,14.119,23000,13.451,21911,4.9607,8081,M
1,1,299,4183,2,164.81,353.24,73.576,76.43,3.20E+05,116.75,4.88E+05,14.886,62268,13.788,57676,5.6732,23731,M
1,1,300,4121,2,220.04,383.84,73.745,79.553,3.28E+05,99.957,4.12E+05,14.705,60598,16.477,67901,9.4079,38770,M
1,1,302,4385,2,141.5,198.13,73.813,73.103,3.21E+05,146.82,6.44E+05,13.774,60398,13.296,58301,6.0274,26430,M
1,1,305,2353,2,197.43,361.46,74.249,71.203,1.68E+05,117.36,2.76E+05,14.869,34986,11.971,28167,5.0459,11873,M
1,1,306,3666,2,254.24,359.3,74.038,79.522,2.92E+05,94.707,3.47E+05,13.854,50789,12.326,45187,5.0775,18614,M
1,1,307,2958,2,172.27,386.83,74.558,82.312,2.43E+05,108.27,3.20E+05,14.89,44045,13.113,38788,6.2512,18491,M
1,1,308,3621,2,229.56,446.03,74.808,100.92,3.65E+05,92.436,3.35E+05,15.349,55580,12.822,46430,7.0735,25613,M
1,1,309,3415,2,191.6,434.28,74.528,85.681,2.93E+05,98.212,3.35E+05,15.454,52775,16.114,55028,7.0287,24003,M
1,1,310,4399,2,284.39,435.48,74.912,98.714,4.34E+05,84.759,3.73E+05,15.329,67432,12.697,55855,6.2303,27407,M
1,1,311,2754,2,174.04,227.09,75.2,73.122,2.01E+05,135.75,3.74E+05,13.331,36714,9.732,26802,4.8377,13323,M
1,1,312,2573,2,201.84,257.47,75.621,65.724,1.69E+05,131.02,3.37E+05,14.007,36040,12.49,32136,5.499,14149,M
1,1,313,576,2,156.55,250.06,76.661,43.931,25304,131.16,75547,13.613,7841,8.5503,4925,4.7413,2731,M
